FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
37097,7884,7884,0,0
37099,1988,1988,0,0
37101,7559,7559,0,0
37103,606,413,62,1.4090909090909092
37105,3030,3030,0,0
37107,3684,3684,0,0
37109,4140,4140,0,0
37111,2642,2642,0,0
37113,2363,2363,0,0
37115,1296,1287,9,0.03383458646616533
37117,1569,1569,0,0
37119,31384,31384,0,0
37121,1161,1145,16,0.07079646017699126
37123,1557,1557,0,0
37125,5714,5714,0,0
37127,5443,5443,0,0
37129,9965,9965,0,0
37131,1346,1346,0,0
37133,6031,6031,0,0
37135,4092,4092,0,0
37137,874,836,12,0.07792207792207795
37139,2167,2167,0,0
37141,2967,2967,0,0
37143,833,760,25,0.18656716417910446
37145,2254,2254,0,0
37147,6546,6546,0,0
37149,1524,1524,0,0
37151,7847,7847,0,0
37153,2875,2875,0,0
37155,7129,7129,0,0
37157,5886,5886,0,0
37159,8225,8225,0,0
37161,4345,4345,0,0
37163,3515,3515,0,0
37165,2023,2023,0,0
37167,3638,3638,0,0
37169,2851,2851,0,0
37171,4776,4776,0,0
37173,995,986,9,0.046391752577319645
37175,2140,2140,0,0
37177,230,0,53,Inf
37179,7356,7356,0,0
37181,2659,2659,0,0
37183,28403,28403,0,0
37185,1291,1291,0,0
37187,818,782,13,0.08904109589041087
37189,1778,1778,0,0
37191,6351,6351,0,0
37193,4211,4211,0,0
37195,4451,4451,0,0
37197,2242,2242,0,0
37199,1153,1145,8,0.03755868544600949
38001,162,0,39,Inf
38003,663,524,46,0.6615384615384616
38005,332,11,72,Inf
38007,NA,0,NA,NA
38009,419,148,61,5.545454545454546
38011,176,0,40,Inf
38013,95,0,24,Inf
38015,3693,3693,0,0
38017,5662,5662,0,0
38019,237,0,59,Inf
38021,353,33,80,Inf
38023,145,0,33,Inf
38025,173,0,37,Inf
38027,218,0,49,Inf
38029,235,0,55,Inf
38031,217,11,52,Inf
38033,62,0,14,Inf
38035,2543,2543,0,0
38037,152,0,36,Inf
38039,196,0,46,Inf
38041,148,0,33,Inf
38043,109,0,27,Inf
38045,217,0,48,Inf
38047,134,0,33,Inf
38049,321,30,63,Inf
38051,247,20,52,Inf
38053,345,0,73,Inf
38055,551,270,75,1.7941176470588234
38057,392,54,75,Inf
38059,1521,1521,0,0
38061,482,210,74,2.96
38063,277,10,59,Inf
38065,60,0,15,Inf
38067,402,106,79,Inf
38069,267,23,63,Inf
38071,684,538,38,0.45783132530120474
38073,412,80,73,7.300000000000001
38075,147,0,36,Inf
38077,740,628,31,0.2844036697247707
38079,657,517,47,0.6351351351351351
38081,179,0,39,Inf
38083,NA,0,NA,NA
38085,214,0,48,Inf
38087,NA,0,NA,NA
38089,1184,1184,0,0
38091,89,0,25,Inf
38093,1203,1203,0,0
38095,142,0,37,Inf
38097,475,164,70,7
38099,733,632,39,0.3899999999999999
38101,2362,2362,0,0
38103,333,30,65,Inf
38105,1155,1146,9,0.0387931034482758
39001,1815,1815,0,0
39003,5769,5769,0,0
39005,2938,2938,0,0
39007,6127,6127,0,0
39009,2491,2491,0,0
39011,2451,2451,0,0
39013,4494,4494,0,0
39015,2680,2680,0,0
39017,17255,17255,0,0
39019,1634,1634,0,0
39021,2092,2092,0,0
39023,8919,8919,0,0
39025,9226,9226,0,0
39027,2294,2294,0,0
39029,6633,6633,0,0
39031,2101,2101,0,0
39033,2869,2869,0,0
39035,70072,70072,0,0
39037,3157,3157,0,0
39039,2054,2054,0,0
39041,5689,5689,0,0
39043,4875,4875,0,0
39045,6870,6870,0,0
