stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
46,South Dakota,North Central,West North Central,2607,21472,0,18641.318,18246.800000000003,18632.5,19045.3,2830.682,2426.7,2839.5,3225.2000000000003,1,0.15216781769839913,0.12741726556910185,0.15239500955116936,0.17675428147504188,1.0858005370157269,0.9308400460299194,1.0891829689298045,1.2371308016877638,0.775
47,Tennessee,South,East South Central,23381,196965,0,165371.809,162489.9,165345,168404.8,31593.191,28560.2,31620,34475.1,1,0.19128472005267616,0.16959255341891924,0.191236505488524,0.21216764857798176,1.3512335229459818,1.2215131944741455,1.3523801377186604,1.4744921089773748,1
48,Texas,South,West South Central,88259,591085,0,476020.348,467544.39999999997,475868,484346.3,115064.652,106738.70000000001,115217,123540.6,1,0.2419624371369273,0.2203768255034112,0.2421196634415641,0.26423287298981984,1.3037157910241448,1.2093803464802455,1.3054419379326756,1.3997507336362296,1
49,Utah,West,Mountain,4411,49491,0,43488.416,42656.9,43475.5,44335.6,6002.584,5155.4000000000005,6015.5,6834.1,1,0.13829220850036017,0.11628127467696062,0.1383652875507848,0.1602108920818889,1.3608215824076173,1.1687599183858537,1.363749716617547,1.5493312174110179,0.989
50,Vermont,Northeast,New England,569,15117,0,14010.48,13703.900000000001,13997,14312.300000000001,1106.52,804.7,1120,1413.1000000000001,1,0.07929352852476122,0.05622437062992358,0.08001714653139959,0.10311663156073178,1.9446748681898067,1.4142355008787346,1.968365553602812,2.4834797891036904,0.988
51,Virginia,South,South Atlantic,18857,191738,0,160698.297,157834.2,160696.5,163670.8,31039.703,28067.2,31041.5,33903.8,1,0.19340177405933948,0.17148569863314778,0.19316848852779125,0.21480642373031278,1.6460573261918652,1.4884233971469483,1.6461526223683514,1.797942408654611,1
53,Washington,West,Pacific,11132,150658,0,135743.771,133286.3,135680,138261.3,14914.229,12396.7,14978,17371.7,1,0.1100949974044347,0.08966138757832916,0.11039209911692147,0.13033372550217504,1.3397618577075099,1.1136094143011137,1.345490477901545,1.560519223859145,0.979
54,West Virginia,South,South Atlantic,6660,62601,0,51419.362,50443,51419,52409,11181.638,10192,11182,12158,1,0.21773377756053022,0.19447041538667023,0.217468251496089,0.24102452272862437,1.6789246246246246,1.5303303303303304,1.678978978978979,1.8255255255255256,1
55,Wisconsin,North Central,East North Central,13011,138758,0,122595.922,120384,122552.5,124877.5,16162.078,13880.5,16205.5,18374,1,0.1320653874281506,0.11115293003158881,0.13223313289058394,0.15262825696252905,1.2421856890323573,1.0668280685573746,1.2455230189839366,1.4121896856506033,0.963
56,Wyoming,West,Mountain,1728,14064,0,10917.008,10664.8,10914,11171.1,3146.992,2892.9,3150,3399.2,1,0.28869802553671664,0.2589628604293321,0.2886201209455745,0.3187307820607638,1.821175925925926,1.6741319444444445,1.8229166666666667,1.9671296296296297,1
00,United States,United States,United States,924859,7774273,1,6579767.662,6462703.5,6579169.5,6696820.800000001,1194505.338,1077452.2,1195103.5,1311569.5,1,0.18177102680858623,0.16089010510010898,0.18164960072178232,0.20294440256688157,1.2915539968795244,1.1649907715662604,1.2922007570883778,1.418129141847568,0.995
