"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 6: East South Central"	"CENS-D6"	"Feb., 2022 (provisional)"	"2022/02"	938	Not Applicable	Not Applicable
"Total"	"Division 6: East South Central"	"CENS-D6"			16403	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Mar., 2020"	"2020/03"	376	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Apr., 2020"	"2020/04"	1374	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"May, 2020"	"2020/05"	787	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jun., 2020"	"2020/06"	944	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jul., 2020"	"2020/07"	3576	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Aug., 2020"	"2020/08"	2311	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Sep., 2020"	"2020/09"	979	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Oct., 2020"	"2020/10"	1110	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Nov., 2020"	"2020/11"	1969	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Dec., 2020"	"2020/12"	4064	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jan., 2021 (provisional)"	"2021/01"	6362	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Feb., 2021 (provisional)"	"2021/02"	3432	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Mar., 2021 (provisional)"	"2021/03"	1588	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Apr., 2021 (provisional)"	"2021/04"	847	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"May, 2021 (provisional)"	"2021/05"	655	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jun., 2021 (provisional)"	"2021/06"	407	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jul., 2021 (provisional)"	"2021/07"	802	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Aug., 2021 (provisional)"	"2021/08"	4456	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Sep., 2021 (provisional)"	"2021/09"	5157	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Oct., 2021 (provisional)"	"2021/10"	2606	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Nov., 2021 (provisional)"	"2021/11"	983	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Dec., 2021 (provisional)"	"2021/12"	1070	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Jan., 2022 (provisional)"	"2022/01"	3610	Not Applicable	Not Applicable
	"Division 7: West South Central"	"CENS-D7"	"Feb., 2022 (provisional)"	"2022/02"	2323	Not Applicable	Not Applicable
"Total"	"Division 7: West South Central"	"CENS-D7"			51788	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Mar., 2020"	"2020/03"	97	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Apr., 2020"	"2020/04"	919	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"May, 2020"	"2020/05"	699	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jun., 2020"	"2020/06"	602	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jul., 2020"	"2020/07"	1728	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Aug., 2020"	"2020/08"	1054	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Sep., 2020"	"2020/09"	401	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Oct., 2020"	"2020/10"	436	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Nov., 2020"	"2020/11"	1285	Not Applicable	Not Applicable
